Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",31.8.1983,23217,1919,
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",4.3.1957,1163165,2002,
ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",4.3.1957,1047862,1823,
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",1.7.2005,16918,1945,
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",2.2.2022,1868275,1999,
COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",23.9.2016,711404,1958,
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",2.7.2018,900075,1982,
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",27.2.1995,24741,1851,
CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",20.6.2018,1175454,2000,
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",3.6.2019,1755672,2019,
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",19.9.2022,1057352,1987,
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1.10.1993,909832,1976,
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",23.6.2008,858470,2021 (1989),
CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",24.6.2024,1535527,2011,
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",14.3.2012,1051470,1994,
CSX,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida",4.3.1957,277948,1980,
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",31.3.1965,26172,1919,
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",4.3.1957,64803,1996,
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",18.11.1998,313616,1969,
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",31.5.1995,940944,1938,
DVA,DaVita,Health Care,Health Care Services,"Denver, Colorado",31.7.2008,927066,1979,
DAY,Dayforce,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota",20.9.2021,1725057,1992,
DECK,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California",18.3.2024,910521,1973,
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",4.3.1957,315189,1837,
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",23.9.2024,1571996,2016,
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",11.9.2013,27904,1929,
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",30.8.2000,1090012,1971,
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",12.5.2020,1093557,1999,
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",3.12.2018,1539838,2007,
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",18.5.2016,1297996,2004,
DFS,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",2.7.2007,1393612,1985,
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",3.12.2012,29534,1939,
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",19.12.2011,935703,1986,
D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",30.11.2016,715957,1983,
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",12.5.2020,1286681,1960,
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",31.10.1985,29905,1955,
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",1.4.2019,1751788,2019 (1897),
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",22.6.2005,882184,1978,
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",4.3.1957,936340,1995,
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",30.6.1976,1326160,1904,
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2.4.2019,1666700,2017 (1802),
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee",1.1.1994,915389,1920,
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",4.3.1957,1551182,1911,
EBAY,eBay,Consumer Discretionary,Broadline Retail,"San Jose, California",22.7.2002,1065088,1995,
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",31.1.1989,31462,1923,
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",4.3.1957,827052,1886,
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",1.4.2011,1099800,1958,
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",22.7.2002,712515,1982,
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",25.7.2002,1156039,2014 (1946),
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",31.3.1965,32604,1890,
ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",7.1.2021,1463101,2006,
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",4.3.1957,65984,1913,
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2.11.2000,821189,1999,
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",14.12.2021,1352010,1993,
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",3.10.2022,33213,1888,
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",19.6.1997,33185,1899,
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",20.3.2015,1101239,1998,
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",3.12.2001,906107,1969,
ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",23.9.2024,922621,1925,
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",2.4.2014,920522,1971,
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",5.1.2006,1001250,1946,
EG,Everest Group,Financials,Reinsurance,"Hamilton, Bermuda",19.6.2017,1095073,1973,
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",5.6.2018,1711269,1909,
ES,Eversource Energy,Utilities,Electric Utilities,"Hartford, Connecticut",24.7.2009,72741,1966,
EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",4.3.1957,1109357,2000,
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",2.10.2007,1324424,1996,
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",10.10.2007,746515,1979,
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",19.1.2016,1289490,1977,
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",4.3.1957,34088,1999,
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",20.12.2010,1048695,1996,
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",20.12.2021,1013237,1978,
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",20.3.2023,814547,1956,
FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",15.9.2008,815556,1967,
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",1.2.2016,34903,1962,
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",31.12.1980,1048911,1971,
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",10.11.2006,1136893,1968,
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",29.3.1996,35527,1858,
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",19.12.2022,1274494,1999,
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",28.11.1997,1031296,1997,
FI,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",2.4.2001,798354,1984,
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",19.8.2009,37785,1883,
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",4.3.1957,37996,1903,
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",11.10.2018,1262039,2000,
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",1.7.2016,1659166,2016,
FOXA,Fox Corporation(Class A),Communication Services,Broadcasting,"New York City, New York",4.3.2019,1754301,2019,
FOX,Fox Corporation(Class B),Communication Services,Broadcasting,"New York City, New York",4.3.2019,1754301,2019,
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",30.4.1998,38777,1947,
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",1.7.2011,831259,1912,
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12.12.2012,1121788,1989,
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",5.4.2017,749251,1979,
GE,GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio",4.3.1957,40545,1892,
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",4.1.2023,1932393,1994,
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",2.4.2024,1996810,2024,
GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona",25.3.2003,849399,1982,
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",22.3.2021,1474735,1959,
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",4.3.1957,40533,1899,
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",4.3.1957,40704,1856,
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6.6.2013,1467858,1908,
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia",31.12.1973,40987,1925,
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",1.7.2004,882095,1987,
GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",25.4.2016,1123360,2000,
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",30.4.1989,320335,1900,
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona",24.6.2024,1609711,1997,
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",22.7.2002,886982,1869,
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",4.3.1957,45012,1919,
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",4.3.1957,874766,1810,
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",30.9.1984,46080,1923,
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",27.1.2015,860730,1968,
DOC,Healthpeak Properties,Real Estate,Health Care REITs,"Denver, Colorado",31.3.2008,765880,1985,
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",17.3.2015,1000228,1932,
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",4.3.1957,47111,1894,
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",31.5.1984,4447,1919,
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2.11.2015,1645590,2015,
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",19.6.2017,1585689,1919,
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",30.3.2016,859737,1985,
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",31.3.1988,354950,1978,
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",4.3.1957,773840,1906,
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",4.3.2009,48465,1891,
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",20.3.2007,1070750,1993,
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",21.10.2016,4281,1888,
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",31.12.1974,47217,1939 (2015),
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",18.10.2023,48898,1888,
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",10.12.2012,49071,1961,
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",28.8.1997,49196,1866,
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",3.1.2018,1501585,2011,
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",4.3.1957,51143,1911,
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",9.8.2019,832101,1988,
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",5.1.2017,874716,1983,
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",28.2.1986,49826,1912,
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",28.2.2017,879169,1991,
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",3.3.2020,1699150,1859,
PODD,Insulet Corporation,Health Care,Health Care Equipment,"Acton, Massachusetts",15.3.2023,1145197,2000,
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",31.12.1976,50863,1968,
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",26.9.2007,1571949,2000,
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",31.3.1976,51253,1958 (1889),
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",4.3.1957,51434,1898,
